관리번호,시군구명,동명,리명,지번,도로명,구코드,동코드,리코드,교차로명,경도,위도
16-111,기장군,정관읍,용수리,1306,용수로 44-7,26710,26710256,2671025628,정관신도시4지점,129.177872,35.32618298
7-191,남구,용호동,,산2-22,신선로 294,26290,26290107,,(용당)남구폐기물 종합처리장,129.1043227,35.10759056
9-040,해운대구,우동,,1388-4,해운대해변로 117,26350,26350105,,대우마리나아파트1차단지,129.145281,35.16053492
8-013,북구,화명동,,757-5,금곡대로 113,26320,26320102,,화명주공아파트정문,129.0082349,35.22063813
12-210,강서구,명지동,,3271,,26440,26440104,,명지주거단지 6지점,128.8962222,35.08665872
12-163,강서구,신호동,,309-16,,26440,26440117,,신호공단3-11지점,128.8753235,35.0813275
12-162,강서구,신호동,,303,,26440,26440117,,신호공단3-9지점,128.8729647,35.0824981
12-161,강서구,신호동,,300-3,,26440,26440117,,신호공단3-7지점,128.8747771,35.0833288
12-160,강서구,신호동,,303,,26440,26440117,,신호공단3-4지점,128.8730583,35.0856811
12-159,강서구,신호동,,303,,26440,26440117,,신호공단3-1지점,128.8730713,35.0875423
12-156,강서구,지사동,,07월 04일,,26440,26440114,,지사과학산업단지 1지점,128.8490722,35.13970962
12-090,강서구,송정동,,1750,,26440,26440109,,송정공원,128.8220542,35.09803206
12-324,강서구,구랑동,,852-2,,26440,26440113,,미음지구1공구-1지점,128.8507344,35.12442631
12-071,강서구,화전동,,601-1,,26440,26440110,,(신호공단진입로입구)화전지구-추가2,128.8688063,35.10163908
14-054,수영구,수영동,,394-12,망미번영로92번길 24-1,26500,26500102,,성도마성당입구,129.11231,35.17414262
10-070,사하구,감천동,,195,천해로80번길 11,26380,26380108,,감천꿈나무미술학원,129.0090427,35.08408774
10-013,사하구,괴정동,,484-6,오작로8번길 4-1,26380,26380101,,크로바관광호텔,128.9936741,35.09635764
10-006,사하구,당리동,,321-1,,26380,26380102,,사하주유소,128.9771572,35.10226556
11-216,금정구,회동동,,70,,26410,26410112,,회동 석대 도시첨단산업단지,129.1272832,35.23241538
16-074,기장군,정관읍,용수리,1346,,26710,26710256,2671025628,협성르네상스아파트 주차장,129.1752672,35.32739021
16-073,기장군,정관읍,용수리,635-7,,26710,26710256,2671025628,협성르네상스아파트 입구,129.1735076,35.32749916
16-069,기장군,정관읍,매학리,718-4,정관로 560,26710,26710256,2671025622,우성스마트시티오피스텔,129.1741585,35.32061785
6-022,동래구,명륜동,,665-1,충렬대로202번길 14,26260,26260107,,농심메가마켓,129.0814888,35.20293652
6-180,동래구,온천동,,152-30,,26260,26260108,,허심청 입구,129.0840507,35.22008731
6-182,동래구,명장동,,568-2,,26260,26260101,,명륜아이파크2차 205동,129.0925788,35.21340226
6-179,동래구,명장동,,497-1,반송로339번길 8,26260,26260101,,서동119안전센터 앞,129.1035383,35.2090868
6-176,동래구,복천동,,422,,26260,26260105,,복산동주민센터 앞,129.0860757,35.20548804
6-163,동래구,낙민동,,261-1,,26260,26260104,,동래시장,129.0866234,35.20120367
6-174,동래구,낙민동,,769-3,안연로109번길 27,26260,26260104,,동래 봉생병원,129.0951527,35.19700662
14-056,수영구,망미동,,602,,26500,26500101,,풍신산업사앞,129.1172364,35.17663922
6-177,동래구,사직동,,1017-2,,26260,26260109,,쌍용예가 129동 앞,129.0576474,35.19701816
12-345,강서구,미음동,,1554,,26440,26440115,,미음지구2공구-13지점,128.8559775,35.16090402
12-341,강서구,미음동,,1549-10,미음산단로 417,26440,26440115,,미음지구2공구-9지점,128.8546996,35.15792363
12-342,강서구,미음동,,1549-6,미음산단로 417,26440,26440115,,미음지구2공구-10지점,128.8565377,35.15781376
12-343,강서구,미음동,,1547-1,,26440,26440115,,미음지구2공구-11지점,128.8580757,35.15897108
10-045,사하구,다대동,,1472-17,,26380,26380106,,다대해수욕장,128.9690012,35.04864736
12-344,강서구,미음동,,1547-1,미음산단6로 8,26440,26440115,,미음지구2공구-12지점,128.8596584,35.16016557
12-335,강서구,미음동,,1594,,26440,26440115,,미음지구2공구-3지점,128.8635232,35.15968558
12-340,강서구,미음동,,1598,,26440,26440115,,미음지구2공구-8지점,128.8616968,35.15841068
12-339,강서구,미음동,,1544-4,,26440,26440115,,미음지구2공구-7지점,128.8600205,35.15715836
12-338,강서구,미음동,,1551-1,미음산단로377번길 5,26440,26440115,,미음지구2공구-6지점,128.8586062,35.15609584
12-336,강서구,미음동,,1570-1,미음산단4로 7,26440,26440115,,미음지구2공구-4지점,128.8593426,35.15361269
12-337,강서구,미음동,,192-18,,26440,26440115,,미음지구2공구-5지점,128.8612547,35.15360661
12-334,강서구,미음동,,1570-13,미음산단로 307,26440,26440115,,미음지구2공구-2지점,128.859408,35.15019008
12-333,강서구,미음동,,195-30,,26440,26440115,,미음지구2공구-1지점,128.8613471,35.15016318
12-332,강서구,미음동,,206-23,,26440,26440115,,미음지구1공구-11지점,128.8613945,35.14380724
12-330,강서구,구랑동,,1238,미음산단로127번길 10,26440,26440113,,미음지구1공구-8지점,128.8593065,35.13677721
12-329,강서구,구랑동,,1246,,26440,26440113,,미음지구1공구-7지점,128.8577952,35.13560776
12-328,강서구,구랑동,,1193-3,미음산단로 93,26440,26440113,,미음지구1공구-6지점,128.856593,35.13471269
12-327,강서구,구랑동,,1157,,26440,26440113,,미음지구1공구-5지점,128.8543787,35.13271723
12-326,강서구,구랑동,,1197-5,,26440,26440113,,미음지구1공구-4지점,128.8531739,35.13186124
12-325,강서구,구랑동,,1246,,26440,26440113,,미음지구1공구-3지점,128.8539009,35.12867639
12-323,강서구,송정동,,1648-6,녹산산업중로 398,26440,26440109,,세보테크 앞,128.8620606,35.09346548
9-315,해운대구,우동,,1488,센텀중앙로 48,26350,26350105,,센텀큐교차로,129.131505,35.1723572
12-075,강서구,명지동,,Mar-67,,26440,26440104,,명지주거단지(3) 명지지하차도,128.903593,35.08902206
12-145,강서구,신호동,,239-1,,26440,26440117,,"신호지방산업단지(7),(7-1)",128.8774473,35.0833287
12-139,강서구,신호동,,218-7,,26440,26440117,,신호지방산업단지(10),128.8799203,35.08566414
12-141,강서구,신호동,,298-1,신호산단4로 27,26440,26440117,,신호지방산업단지(1),128.8760579,35.08744252
12-142,강서구,신호동,,205-1,신호산단3로 55,26440,26440117,,신호지방산업단지(2),128.8798538,35.08733716
12-143,강서구,신호동,,205-2,신호산단3로 75,26440,26440117,,신호지방산업단지(3),128.8819216,35.08742796
12-136,강서구,신호동,,293,,26440,26440117,,신호지방산업단지(6),128.8819238,35.08568799
12-138,강서구,신호동,,282,,26440,26440117,,신호지방산업단지(8),128.8798216,35.08137964
12-146,강서구,신호동,,257,,26440,26440117,,신호지방산업단지(9),128.8775151,35.08143592
9-123,해운대구,좌동,,1298,,26350,26350107,,"건영아파트(33),(32)직결",129.1745357,35.1747778
14-063,연제구,연산동,,2186,,26470,26470102,,E편한세상2차,129.1154113,35.18204534
14-055,수영구,망미동,,17,구락로 149,26500,26500101,,E편한세상3차,129.1161682,35.18101095
13-084,연제구,연산동,,372-9,과정로283번나길 31,26470,26470102,,연일중학교,129.0971885,35.18565732
13-079,연제구,연산동,,1023-7,,26470,26470102,,연일초교,129.0958504,35.185718
15-148,사상구,덕포동,,359-5,삼덕로99번길 20,26530,26530103,,덕포지하차도,128.9883202,35.17358069
11-188,금정구,부곡동,,386-13,중앙대로 1414,26410,26410109,,온천입구-부곡시장,129.0879238,35.2195723
11-187,동래구,명륜동,,754-0,,26260,26260107,,온천입구4거리,129.0867068,35.21786651
7-171,남구,대연동,,325-1,진남로18번길 11,26290,26290106,,대연농협,129.094611,35.13539202
7-009,남구,대연동,,Jan-76,용소로8번길 46-1,26290,26290106,,대연3PB,129.0967995,35.13588727
10-002,사하구,괴정동,,285-18,,26380,26380101,,괴정국민은행,128.9973383,35.10195018
11-018,금정구,남산동,,Jan-92,,26410,26410104,,남산주유소(침례병원),129.092764,35.26723918
8-205,북구,덕천동,,128-2,만덕3로33번길 5-15,26320,26320104,,만덕벽산아파트,129.024946,35.21115768
10-079,사하구,구평동,,90-49,,26380,26380107,,(주)한보철강후문(보세창고),128.9901664,35.08126734
2-005,서구,부민동2가,,39,,26140,26140110,,부민로타리,129.0199393,35.10270584
5-149,부산진구,전포동,,516-18,,26230,26230102,,송공로타리,129.0674819,35.16853423
5-017,부산진구,전포동,,868,,26230,26230102,,밀리오레,129.062362,35.15778439
3-001,동구,범일동,,633-19,자성로75번길 50-17,26170,26170104,,진시장,129.0594446,35.13804119
4-004,영도구,영선동1가,,Feb-99,,26200,26200108,,소방PB,129.0425716,35.09076492
4-003,영도구,대교동1가,,139-1,절영로30번길 20,26200,26200101,,대교로타리,129.0396554,35.09219758
6-057,동래구,명륜동,,677-12,,26260,26260107,,명륜PB,129.0825205,35.21005624
6-053,동래구,온천동,,850-73,금강로 39,26260,26260108,,온천초교,129.0733966,35.21262537
6-013,동래구,사직동,,133-29,미남로 47-3,26260,26260109,,대선사거리,129.0722937,35.19667186
16-067,기장군,정관읍,용수리,1380,,26710,26710256,2671025628,정관롯데캐슬 2차,129.169423,35.32996503
16-128,기장군,정관읍,용수리,1380,,26710,26710256,2671025628,정관신도시(#15) 신정중학교앞 사거리,129.1681087,35.32936651
16-217,기장군,장안읍,길천리,213-1,,26710,26710253,2671025334,월내초교앞,129.2823214,35.3295122
16-158,기장군,정관읍,달산리,1051-1,산단4로 1,26710,26710256,2671025625,(정관)L지점(IBK기업은행 정관지점),129.1800187,35.31662419
16-159,기장군,정관읍,달산리,1037-1,,26710,26710256,2671025625,(정관)F지점(유성산업),129.1845903,35.31684279
16-160,기장군,정관읍,달산리,1096,,26710,26710256,2671025625,(정관)G지점(양산기공),129.1922016,35.31796548
16-162,기장군,정관읍,예림리,1128,,26710,26710256,2671025630,(정관)O지점(경신사공장),129.2007256,35.31958876
15-134,사상구,주례동,,152-6,가야대로 326-11,26530,26530106,,동서대입구,129.011308,35.15119749
16-163,기장군,정관읍,예림리,1122,산단7로 53,26710,26710256,2671025630,(정관)P지점(미송목재),129.208269,35.32079054
16-101,기장군,정관읍,예림리,1085,,26710,26710256,2671025630,예림리 대송테크주변,129.2104003,35.32082942
9-317,해운대구,재송동,,342-2,해운대로 179,26350,26350104,,해운대구청 신청사,129.1220941,35.18175525
9-225,해운대구,재송동,,1192,,26350,26350104,,"센텀시티1,2지점(센텀초교)",129.1212281,35.18119804
9-247,해운대구,재송동,,677-5,,26350,26350104,,센텀필사거리(센텀IS타워),129.1261749,35.1767249
9-226,해운대구,재송동,,1199,해운대로 284,26350,26350104,,센텀시티10지점(센텀사이언스파크),129.1266307,35.17507993
9-215,해운대구,재송동,,1494,수영강변대로 93,26350,26350104,,"센텀시티34,35지점(에이지웍스)",129.124491,35.17394419
9-227,해운대구,우동,,1470,해운대로 284,26350,26350105,,센텀시티12지점(KNN앞사거리),129.1295487,35.17350482
9-216,해운대구,우동,,1467,수영강변대로 120,26350,26350105,,센텀시티36지점(영화의전당 뒤),129.1274766,35.17231761
9-228,해운대구,우동,,1494,수영강변대로 93,26350,26350105,,"센텀시티18,38지점(영화의전당 앞)",129.1274318,35.16944831
9-319,해운대구,우동,,1510,,26350,26350105,,센텀호텔(벡스코주차장),129.1336698,35.16764825
